user,avg_token_length,gender,same_gender,opposite_gender,caps,punct,weekend,night
f4b3badd6f2a9f1ce59b605d5d0032e8,4.664713541666667,1,13,6,0.08011165387299372,0.07285415212840195,0.27607361963190186,0.3987730061349693
2dc31ea483d5f518d4ca30d4e850e4a7,4.471861471861472,0,0,5,0.07938044530493708,0.06453694740238787,0.22448979591836735,0.32653061224489793
fabdbdf53562be91ebbabd5e185e01b7,4.379620034542314,0,10,7,0.08533796040697215,0.05655020111996214,0.25116279069767444,0.16744186046511628
441f67f698b2faa8c5eb8086723b7c3f,4.359852368259176,0,12,55,0.07205003997554438,0.06706485444198843,0.29022988505747127,0.23275862068965517
d3f0ddf6db92ab318bba5ea018a552e6,4.902575587905935,0,3,24,0.05116491548652353,0.13579259936043855,0.19047619047619047,0.35714285714285715
134ff762503939009e98fdddbcd2f6e3,4.2764146219329,1,3,2,0.07997658079625293,0.0959016393442623,0.24444444444444444,0.362962962962963
6497f553b0b9caf8927b54032673a5be,4.32375533428165,1,8,4,0.049545992893801814,0.09139360442163443,0.07853403141361257,0.11518324607329843
36c38dfbc46fdf3793c0e3899bae2b7f,4.619289340101523,0,0,1,0.014285714285714285,0.06263736263736264,0.3125,0.1875
9a9f3e802a37cd048ab5ef6782297817,4.7901049475262365,0,2,5,0.04913928012519562,0.09389671361502347,0.23255813953488372,0.46511627906976744
f618bc0a98b5ec837ba8d1f74193bb2d,4.236553238199781,1,15,7,0.08777043658504988,0.06678326208058039,0.2413793103448276,0.2988505747126437
c37acf99a9dd6074bc414b955d03dfe0,4.678571428571429,1,3,6,0.06643737941447865,0.08287895310796074,0.26436781609195403,0.3850574712643678
e9dd6322d8c6187a28e148cf511cb9bd,4.199887703537339,0,13,3,0.07927807486631017,0.11363636363636363,0.2247191011235955,0.5955056179775281
04f40666c6efdce4fd0db832f1d820d0,4.397750511247444,1,28,20,0.08730527784236224,0.07382004185073239,0.25882352941176473,0.4
433421dfb7f37c978bda2fba25f7c8e4,4.449060336300692,0,1,3,0.04313028012449978,0.06202756780791463,0.2619047619047619,0.5119047619047619
